promo_id,promo_code,description,discount_type,discount_value,min_order_amount,start_date,end_date,max_uses,times_used,is_active,applicable_category
4001,SUMMER10,Summer sale 10% off,percentage,10,25.00,2023-06-01,2023-08-31,500,245,false,all
4002,WELCOME5,New customer welcome discount,fixed_amount,5,15.00,2023-01-01,,1000,823,true,all
4003,FALL20,Fall season 20% off,percentage,20,50.00,2023-09-01,2023-11-30,300,187,false,clothing
4004,HOLIDAY15,Holiday special 15% off,percentage,15,30.00,2023-12-01,2023-12-31,400,312,false,all
4005,VDAY25,Valentines Day 25% off,percentage,25,75.00,2024-02-10,2024-02-16,200,198,false,home
4006,SPRING10,Spring collection 10% off,percentage,10,20.00,2024-03-01,2024-05-31,500,156,false,clothing
4007,SUMMER20,Summer blowout 20% off,percentage,20,40.00,2024-06-01,2024-08-31,600,342,false,all
4008,FALL10,Fall favorites 10% off,percentage,10,25.00,2024-09-01,2024-11-30,400,89,false,all
4009,BF30,Black Friday 30% off,percetnage,30,100.00,2024-11-25,2024-12-02,1000,876,false,all
4010,XMAS15,Christmas special 15% off,percentage,15,30.00,2024-12-15,2024-12-26,500,445,false,all
4011,SPRING15,Spring refresh 15% off,percentage,15,35.00,2025-03-01,2025-05-31,400,112,true,clothing
4012,FLASH50,Flash sale 50% off,percentage,50,200.00,2024-07-04,2024-07-04,50,50,false,electronics
4013,LOYALTY10,Loyalty reward 10% off,percentage,10,0.00,2024-01-01,,0,156,true,all
4014,FREESHIP,Free shipping over $50,free_shipping,0,50.00,2024-01-01,,10000,4523,true,all
4015,NEWYR25,New Year 25% off,percentage,25,60.00,2025-01-01,2024-12-31,300,0,false,all
4016,BOGO50,Buy one get one 50% off,percentage,50,0.00,2024-04-01,2024-04-07,100,88,false,clothing
4017,TECH20,Tech deals 20% off,percentage,20,50.00,2024-06-15,2024-06-30,200,145,false,electronics
4018,HOME15,Home essentials 15% off,percentage,15,40.00,2024-08-01,2024-08-31,300,67,false,home
4019,SPORT10,Sports gear 10% off,percentage,10,20.00,2024-09-15,2024-10-15,250,34,false,sports
4020,BOOK25,Book lovers 25% off,percentage,25,15.00,2024-10-01,2024-10-31,200,98,false,books
4021,CYBER40,Cyber Monday 40% off,percentage,40,150.00,2024-12-01,2024-12-02,500,500,false,electronics
4022,VIP30,VIP exclusive 30% off,percentage,30,0.00,2025-01-15,,100,12,true,all
4023,EARTH10,Earth Day 10% off,percentage,10,0.00,2025-04-22,2025-04-22,1000,0,1,all
4024,BUNDLE20,Bundle discount 20% off,percentage,20,100.00,2025-02-01,2025-03-31,150,45,false,all
4025,REFER15,Referral bonus 15% off,fixed_amount,15,30.00,2024-06-01,,500,234,true,all
4026,STUDENT20,Student discount 20% off,percentage,20,0.00,2024-09-01,,2000,890,1,all
4027,CLEARANCE,Clearance 60% off,percentage,60,0.00,2025-03-15,2025-04-15,50,48,false,clothing
4028,SUMMER10,Summer sale 10% off renewed,percentage,10,25.00,2025-06-01,2025-08-31,500,0,true,all
4029,PREMIUM5,Premium member $5 off,fixed_amount,5,0.00,2025-01-01,,5000,1200,true,all
4030,GIFT10,Gift purchase 10% off,percentage,10,50.00,2024-12-10,2024-12-25,800,567,false,toys
