review_id,product_id,customer_id,rating,review_text,review_date,is_verified_purchase,helpful_votes,report_count
6001,101,1,5,Great quality t-shirt fits perfectly,2023-07-01,true,12,0
6002,105,2,4,Good mouse but scroll wheel is a bit stiff,2023-08-05,1,8,0
6003,103,3,3,Decent notebook nothing special,2023-09-01,true,3,0
6004,108,4,5,Best running shoes I have owned,2023-12-01,yes,15,0
6005,110,5,1,Pillow went flat after a week,2023-11-15,true,20,1
6006,106,6,4,Good cable charges fast,2024-01-10,1,5,0
6007,109,7,5,Beautiful lamp great ambient light,2024-02-01,true,10,0
6008,112,8,5,Standing desk changed my work life,2024-03-15,true,25,0
6009,101,10,4,Nice shirt but runs a bit small,2024-04-01,0,6,0
6010,111,13,5,Amazing sound quality for the price,2024-05-10,true,18,0
6011,102,14,3,Socks are okay nothing special,2024-06-01,false,2,0
6012,104,17,4,Good pens write smoothly,2024-08-05,1,4,0
6013,103,19,5,Love these notebooks use them daily,2024-10-01,true,9,0
6014,106,22,4,Cable works well with all my devices,2024-11-15,true,7,0
6015,101,26,5,Another great t-shirt ordering more,2025-01-10,yes,11,0
6016,110,28,2,Not as comfortable as expected,2025-02-15,true,14,2
6017,107,30,4,Good yoga mat great grip,2025-03-10,1,8,0
6018,109,1,4,Bought another one for the bedroom,2024-08-01,true,6,0
6019,105,4,5,Upgraded from old mouse huge improvement,2025-07-01,true,13,0
6020,112,7,5,Worth every penny best desk ever,2025-08-01,true,22,0
6021,101,90,4,Good basic t-shirt,2024-03-15,false,3,0
6022,108,91,5,Perfect for marathon training,2024-06-20,no,16,0
6023,105,92,3,Works fine but feels cheap,2024-09-10,0,5,1
6024,999,93,4,Great product would buy again,2024-12-01,true,7,0
6025,101,2,0,Accidentally submitted empty review,2024-01-15,true,0,3
6026,112,10,6,,2024-05-01,1,0,2
6027,103,1,5,,2024-04-15,true,0,0
6028,108,14,4,,2024-07-10,true,0,0
6029,111,21,5,Best speaker in this price range hands down,2024-11-01,true,19,0
6030,102,23,3,Decent socks for the price,2024-12-15,false,2,0
6031,107,25,4,Good mat but wish it was thicker,2025-01-20,1,6,0
6032,104,29,5,These pens are amazing for journaling,2025-03-15,true,10,0
6033,106,31,4,Fast charging cable works great,2025-04-10,yes,5,0
6034,109,33,5,Elegant design fits my room perfectly,2025-05-20,true,8,0
6035,112,34,4,Solid desk but assembly took 3 hours,2025-06-15,true,12,1
6036,101,1,5,Buying my third one now love these,2025-04-20,true,9,0
6037,108,4,4,Still great after 6 months of running,2025-08-10,1,7,0
6038,105,35,4,Reliable mouse good battery life,2025-03-25,true,4,0
6039,111,18,5,Perfect for outdoor gatherings,2025-07-20,true,14,0
6040,103,11,4,Great for note taking in meetings,2025-02-28,true,6,0
